# node	type	degree
B4212	buyer	1
B4213	buyer	7
B4214	buyer	2
B4215	buyer	2
B4216	buyer	3
B4217	buyer	3
B4218	buyer	1
B4219	buyer	1
B4220	buyer	2
B4221	buyer	2
B4222	buyer	2
B4223	buyer	3
B4224	buyer	2
B4225	buyer	1
B4226	buyer	3
B4227	buyer	4
B4228	buyer	3
B4229	buyer	1
B4230	buyer	2
B4231	buyer	3
B4232	buyer	1
B4233	buyer	2
B4234	buyer	9
B4235	buyer	3
B4236	buyer	2
B4237	buyer	1
B4238	buyer	6
B4239	buyer	1
B4241	buyer	2
B4242	buyer	7
B4243	buyer	3
B4244	buyer	2
B4245	buyer	2
B4246	buyer	1
B4247	buyer	1
B4248	buyer	2
B4249	buyer	1
B4250	buyer	1
B4251	buyer	8
B4252	buyer	1
B4253	buyer	4
B4254	buyer	2
B4255	buyer	2
B4256	buyer	1
B4257	buyer	5
B4258	buyer	2
B4259	buyer	3
B426	buyer	3
B4260	buyer	1
B4261	buyer	7
B4262	buyer	4
B4263	buyer	4
B4264	buyer	2
B4265	buyer	2
B4267	buyer	4
B4268	buyer	3
B4269	buyer	4
B427	buyer	1
B4270	buyer	2
B4271	buyer	1
B4272	buyer	3
B4273	buyer	1
B4275	buyer	2
B4276	buyer	4
B4277	buyer	1
B4278	buyer	3
B4279	buyer	6
B428	buyer	6
B4280	buyer	3
B4281	buyer	3
B4282	buyer	2
B4283	buyer	1
B4284	buyer	1
B4285	buyer	2
B4286	buyer	1
B4287	buyer	1
B4288	buyer	3
B4289	buyer	12
B4290	buyer	1
B4291	buyer	8
B4292	buyer	3
B4293	buyer	1
B4294	buyer	1
B4295	buyer	2
B4296	buyer	2
B4297	buyer	1
B4298	buyer	1
B4299	buyer	1
B4300	buyer	1
B4301	buyer	2
B4302	buyer	4
B4303	buyer	1
B4304	buyer	3
B4305	buyer	1
B4306	buyer	3
B4307	buyer	2
B4308	buyer	5
B4309	buyer	1
B4310	buyer	2
B4311	buyer	6
B4312	buyer	5
B4314	buyer	3
B4315	buyer	1
B4316	buyer	1
B4317	buyer	2
B4318	buyer	7
B4319	buyer	2
B432	buyer	2
B4320	buyer	2
B4321	buyer	2
B4322	buyer	3
B4323	buyer	1
B4324	buyer	8
B4325	buyer	3
B4326	buyer	2
B4327	buyer	2
B4328	buyer	4
B4329	buyer	3
B4330	buyer	3
B4332	buyer	2
B4333	buyer	1
B4334	buyer	3
B4335	buyer	1
B4336	buyer	6
B4337	buyer	1
B4338	buyer	2
B4339	buyer	6
B434	buyer	11
B4340	buyer	1
B4341	buyer	4
B4343	buyer	1
B4344	buyer	2
B4345	buyer	2
B4346	buyer	2
B4347	buyer	1
B4348	buyer	3
B4349	buyer	1
B4350	buyer	2
B4351	buyer	5
B4352	buyer	22
B4353	buyer	1
B4354	buyer	3
B4355	buyer	1
B4356	buyer	1
B4357	buyer	2
B4358	buyer	4
B4359	buyer	9
B4360	buyer	4
B4361	buyer	6
B4362	buyer	1
B4363	buyer	3
B4364	buyer	3
B4365	buyer	3
B4366	buyer	2
B4367	buyer	1
B4368	buyer	3
B4369	buyer	5
B4370	buyer	2
B4372	buyer	13
B4373	buyer	2
B4374	buyer	14
B4376	buyer	1
B4377	buyer	1
B4378	buyer	2
B438	buyer	10
B4380	buyer	1
B4381	buyer	1
B4383	buyer	3
B4384	buyer	2
B4385	buyer	6
B4386	buyer	2
B4387	buyer	2
B4388	buyer	1
B4389	buyer	1
B4390	buyer	6
B4391	buyer	1
B4393	buyer	1
B4394	buyer	2
B4395	buyer	1
B4396	buyer	1
B440	buyer	3
B4400	buyer	1
B4401	buyer	4
B4402	buyer	2
B4403	buyer	1
B4404	buyer	2
B4405	buyer	1
B4406	buyer	2
B4407	buyer	1
B4408	buyer	2
B4409	buyer	2
B4410	buyer	6
B4411	buyer	2
B4413	buyer	2
B4414	buyer	3
B4415	buyer	3
B4416	buyer	4
B4418	buyer	13
B4419	buyer	3
B442	buyer	4
B4420	buyer	3
B4421	buyer	2
B4422	buyer	3
B4423	buyer	3
B4424	buyer	1
B4425	buyer	6
B4426	buyer	1
B4427	buyer	11
B4428	buyer	6
B4429	buyer	3
B4430	buyer	4
B4431	buyer	4
B4432	buyer	1
B4433	buyer	2
B4434	buyer	1
B4435	buyer	3
B4436	buyer	3
B4437	buyer	1
B4438	buyer	1
B4439	buyer	2
B4440	buyer	1
B4441	buyer	2
B4442	buyer	1
B4444	buyer	1
B4445	buyer	2
B4446	buyer	1
B4447	buyer	2
B4449	buyer	2
B4450	buyer	3
B4451	buyer	2
B4452	buyer	5
B4453	buyer	5
B4454	buyer	1
B4455	buyer	2
B4456	buyer	2
B4457	buyer	1
B4459	buyer	1
B446	buyer	5
B4460	buyer	4
B4461	buyer	2
B4462	buyer	8
B4463	buyer	4
B4464	buyer	2
B4465	buyer	2
B4466	buyer	1
B4467	buyer	5
B4468	buyer	2
B4470	buyer	4
B4471	buyer	1
B4472	buyer	5
B4473	buyer	1
B4475	buyer	1
B4476	buyer	6
B4477	buyer	3
B4478	buyer	1
B4479	buyer	3
B4480	buyer	2
B4481	buyer	2
B4482	buyer	24
B4483	buyer	1
B4484	buyer	4
B4485	buyer	7
B4487	buyer	1
B4488	buyer	2
B4489	buyer	4
B4490	buyer	2
B4491	buyer	1
B4492	buyer	2
B4493	buyer	2
B4494	buyer	3
B4495	buyer	5
B4496	buyer	2
B4497	buyer	1
B4498	buyer	9
B4499	buyer	1
B4500	buyer	6
B4501	buyer	2
B4502	buyer	9
B4503	buyer	1
B4504	buyer	4
B4505	buyer	1
B4506	buyer	3
B4507	buyer	3
B4508	buyer	1
B4509	buyer	2
B4510	buyer	1
B4511	buyer	1
B4512	buyer	1
B4513	buyer	2
B4514	buyer	2
B4515	buyer	3
B4516	buyer	1
B4517	buyer	1
B4518	buyer	2
B4519	buyer	1
B4520	buyer	4
B4521	buyer	3
B4522	buyer	2
B4523	buyer	1
B4524	buyer	1
B4525	buyer	1
B4526	buyer	2
B4528	buyer	4
B4529	buyer	4
B453	buyer	3
B4530	buyer	2
B4531	buyer	4
B4532	buyer	4
B4533	buyer	3
B4534	buyer	4
B4535	buyer	1
B4536	buyer	1
B4537	buyer	7
B4538	buyer	1
B4539	buyer	9
B4540	buyer	4
B4541	buyer	3
B4542	buyer	2
B4543	buyer	2
B4544	buyer	2
B4545	buyer	3
B4546	buyer	1
B4547	buyer	1
B4548	buyer	1
B4549	buyer	3
B4550	buyer	2
B4551	buyer	6
B4552	buyer	1
B4553	buyer	2
B4555	buyer	4
B4556	buyer	1
B4557	buyer	3
B4558	buyer	3
B4559	buyer	2
B4560	buyer	1
B4561	buyer	3
B4563	buyer	7
B4564	buyer	2
B4565	buyer	3
B4566	buyer	2
B4567	buyer	3
B4568	buyer	1
B4569	buyer	1
B457	buyer	3
B4571	buyer	3
B4572	buyer	2
B4573	buyer	2
B4574	buyer	2
B4575	buyer	4
B4577	buyer	2
B4578	buyer	26
B4579	buyer	14
B4580	buyer	2
B4581	buyer	4
B4582	buyer	3
B4583	buyer	2
B4584	buyer	1
B4585	buyer	3
B4586	buyer	11
B4587	buyer	2
B4588	buyer	1
B4589	buyer	3
B4590	buyer	4
B4591	buyer	2
B4592	buyer	1
B4593	buyer	2
B4594	buyer	7
B4595	buyer	2
B4596	buyer	8
B4597	buyer	1
B4598	buyer	1
B4599	buyer	1
B4600	buyer	3
B4601	buyer	1
B4602	buyer	2
B4603	buyer	2
B4604	buyer	1
B4605	buyer	1
B4606	buyer	2
B4607	buyer	1
B4608	buyer	5
B4609	buyer	1
B4610	buyer	10
B4611	buyer	2
B4612	buyer	2
B4613	buyer	2
B4614	buyer	3
B4615	buyer	2
B4616	buyer	5
B4617	buyer	2
B4618	buyer	2
B4619	buyer	3
B4620	buyer	1
B4621	buyer	2
B4622	buyer	1
B4623	buyer	3
B4624	buyer	3
B4625	buyer	2
B4626	buyer	2
B4627	buyer	3
B4628	buyer	8
B4629	buyer	1
B4630	buyer	4
B4631	buyer	1
B4632	buyer	2
B4633	buyer	1
B4634	buyer	2
B4635	buyer	35
B4636	buyer	2
B4637	buyer	11
B4638	buyer	7
B4639	buyer	2
B4640	buyer	1
B4642	buyer	31
B4643	buyer	11
B4644	buyer	4
B4645	buyer	5
B4646	buyer	1
B4647	buyer	1
B4648	buyer	1
B4649	buyer	5
B4650	buyer	3
B4651	buyer	4
B4652	buyer	2
B4653	buyer	3
B4654	buyer	1
B4655	buyer	3
B4656	buyer	13
B4657	buyer	1
B4658	buyer	4
B4659	buyer	1
B4660	buyer	1
B4661	buyer	1
B4662	buyer	1
B4663	buyer	2
B4664	buyer	8
B4665	buyer	1
B4666	buyer	2
B4667	buyer	2
B4668	buyer	6
B4669	buyer	1
B4670	buyer	2
B4671	buyer	1
B4672	buyer	1
B4673	buyer	6
B4674	buyer	5
B4675	buyer	1
B4676	buyer	8
B4677	buyer	4
B4678	buyer	2
B4679	buyer	5
B4680	buyer	1
B4681	buyer	6
B4682	buyer	1
B4684	buyer	2
B4685	buyer	1
B4687	buyer	1
B4688	buyer	5
B4689	buyer	1
B469	buyer	2
B4690	buyer	2
B4691	buyer	4
B4692	buyer	2
B4693	buyer	4
B4694	buyer	3
B4695	buyer	3
B4696	buyer	1
B4697	buyer	1
B4698	buyer	4
B470	buyer	2
B4700	buyer	1
B4701	buyer	4
B4702	buyer	3
B4703	buyer	1
B4704	buyer	2
B4705	buyer	4
B4706	buyer	5
B4707	buyer	2
B4708	buyer	2
B4709	buyer	1
B4710	buyer	2
B4711	buyer	1
B4712	buyer	1
B4713	buyer	5
B4714	buyer	1
B4715	buyer	2
B4716	buyer	1
B4717	buyer	1
B4718	buyer	2
B4719	buyer	1
B4720	buyer	9
B4721	buyer	1
B4722	buyer	2
B4723	buyer	3
B4724	buyer	1
B4725	buyer	2
B4726	buyer	1
B4727	buyer	2
B4729	buyer	10
B4730	buyer	1
B4731	buyer	3
B4732	buyer	5
B4733	buyer	3
B4734	buyer	2
B4735	buyer	1
B4736	buyer	3
B4737	buyer	1
B4738	buyer	2
B4739	buyer	3
B4740	buyer	13
B4741	buyer	3
B4742	buyer	2
B4743	buyer	22
B4747	buyer	2
B4748	buyer	1
B4749	buyer	5
B4750	buyer	1
B4751	buyer	3
B4752	buyer	2
B4753	buyer	1
B4754	buyer	1
B4755	buyer	1
B4756	buyer	10
B4757	buyer	1
B4758	buyer	8
B4759	buyer	3
B476	buyer	4
B4760	buyer	4
B4761	buyer	5
B4762	buyer	1
B4763	buyer	2
B4764	buyer	5
B4765	buyer	1
B4766	buyer	3
B4767	buyer	1
B4768	buyer	11
B4769	buyer	2
B4770	buyer	9
B4771	buyer	3
B4772	buyer	8
B4773	buyer	4
B4774	buyer	1
B4775	buyer	2
B4776	buyer	5
B4777	buyer	3
B4778	buyer	8
B4779	buyer	3
B4780	buyer	2
B4781	buyer	3
B4782	buyer	3
B4785	buyer	2
B4786	buyer	3
B4787	buyer	6
B4788	buyer	2
B4789	buyer	1
B479	buyer	12
B4790	buyer	2
B4791	buyer	2
B4792	buyer	2
B4793	buyer	10
B4794	buyer	2
B4795	buyer	1
B4796	buyer	1
B4797	buyer	3
B4798	buyer	35
B4799	buyer	2
B4800	buyer	4
B4801	buyer	3
B4802	buyer	3
B4803	buyer	2
B4804	buyer	3
B4805	buyer	1
B4806	buyer	3
B4807	buyer	5
B4808	buyer	3
B4809	buyer	1
B4810	buyer	2
B4811	buyer	2
B4812	buyer	2
B4813	buyer	3
B4814	buyer	4
B4815	buyer	2
B4816	buyer	5
B4817	buyer	4
B4818	buyer	3
B4819	buyer	2
B482	buyer	2
B4820	buyer	5
B4821	buyer	7
B4822	buyer	5
B4824	buyer	1
B4825	buyer	10
B4826	buyer	1
B4827	buyer	1
B4828	buyer	1
B4829	buyer	2
B4830	buyer	1
B4831	buyer	2
B4832	buyer	1
B4834	buyer	2
B4835	buyer	7
B4836	buyer	2
B4837	buyer	2
B4839	buyer	1
B4840	buyer	1
B4841	buyer	2
B4842	buyer	1
B4843	buyer	7
B4844	buyer	5
B4845	buyer	1
B4846	buyer	1
B4847	buyer	8
B4849	buyer	1
B485	buyer	13
B4850	buyer	3
B4851	buyer	1
B4852	buyer	1
B4853	buyer	3
B4854	buyer	2
B4855	buyer	1
B4856	buyer	2
B4857	buyer	6
B4858	buyer	4
B4859	buyer	9
B4860	buyer	2
B4861	buyer	2
B4862	buyer	1
B4863	buyer	2
B4864	buyer	2
B4866	buyer	11
B4867	buyer	2
B4868	buyer	5
B4869	buyer	3
B487	buyer	5
B4870	buyer	5
B4872	buyer	1
B4873	buyer	6
B4874	buyer	2
B4875	buyer	2
B4876	buyer	16
B4877	buyer	1
B4878	buyer	2
B4879	buyer	1
B4880	buyer	1
B4881	buyer	3
B4883	buyer	6
B4884	buyer	4
B4885	buyer	2
B4886	buyer	2
B4887	buyer	2
B4888	buyer	1
B4889	buyer	6
B4890	buyer	1
B4891	buyer	2
B4892	buyer	3
B4893	buyer	4
B4894	buyer	6
B4895	buyer	1
B4896	buyer	3
B4898	buyer	2
B4899	buyer	2
B49	buyer	3
B4900	buyer	2
B4901	buyer	2
B4902	buyer	6
B4903	buyer	2
B4904	buyer	4
B4905	buyer	2
B4906	buyer	1
B4907	buyer	2
B4908	buyer	3
B4909	buyer	1
B4910	buyer	2
B4911	buyer	2
B4912	buyer	2
B4913	buyer	3
B4914	buyer	2
B4915	buyer	1
B4916	buyer	4
B4917	buyer	4
B4918	buyer	1
B4919	buyer	7
B4920	buyer	1
B4921	buyer	2
B4922	buyer	2
B4923	buyer	1
B4924	buyer	2
B4925	buyer	4
B4926	buyer	7
B4927	buyer	1
B4928	buyer	2
B4929	buyer	1
B4930	buyer	5
B4931	buyer	3
B4932	buyer	2
B4933	buyer	1
B4934	buyer	2
B4935	buyer	1
B4936	buyer	2
B4937	buyer	2
B4938	buyer	2
B4939	buyer	3
B4941	buyer	5
B4942	buyer	2
B4943	buyer	1
B4944	buyer	1
B4945	buyer	1
B4947	buyer	7
B4948	buyer	1
B4949	buyer	2
B495	buyer	17
B4950	buyer	2
B4951	buyer	6
B4952	buyer	1
B4953	buyer	1
B4954	buyer	2
B4955	buyer	2
B4957	buyer	1
B4958	buyer	1
B4959	buyer	1
B496	buyer	4
B4960	buyer	2
B4961	buyer	7
B4962	buyer	1
B4963	buyer	6
B4964	buyer	2
B4965	buyer	3
B4966	buyer	2
B4967	buyer	4
B4968	buyer	1
B4969	buyer	4
B497	buyer	4
B4970	buyer	2
B4971	buyer	5
B4972	buyer	4
B4973	buyer	12
B4974	buyer	1
B4975	buyer	1
B4976	buyer	1
B4977	buyer	1
B4978	buyer	1
B4979	buyer	1
B4980	buyer	7
B4981	buyer	3
B4982	buyer	2
B4983	buyer	4
B4984	buyer	1
B4985	buyer	1
B4986	buyer	4
B4987	buyer	2
B4988	buyer	5
B4989	buyer	2
B4990	buyer	1
B4991	buyer	1
B4992	buyer	10
B4993	buyer	1
B4994	buyer	2
B4995	buyer	8
B4996	buyer	2
B4997	buyer	7
B4998	buyer	1
B4999	buyer	1
B5000	buyer	2
B5002	buyer	2
B5003	buyer	2
B5004	buyer	3
B5005	buyer	2
B5007	buyer	2
B5008	buyer	1
B5009	buyer	1
B501	buyer	3
B5010	buyer	3
B5011	buyer	1
B5012	buyer	1
B5013	buyer	1
B5014	buyer	2
B5015	buyer	1
B5016	buyer	1
B5017	buyer	3
B5018	buyer	2
B5019	buyer	1
B5020	buyer	1
B5021	buyer	1
B5022	buyer	1
B5023	buyer	2
B5024	buyer	1
B5025	buyer	1
B5026	buyer	5
B5027	buyer	2
B5028	buyer	2
B5029	buyer	2
B503	buyer	3
B5030	buyer	2
B5031	buyer	4
B5032	buyer	8
B5033	buyer	1
B5034	buyer	1
B5035	buyer	10
B5036	buyer	1
B5037	buyer	2
B5038	buyer	1
B5039	buyer	7
B5040	buyer	1
B5041	buyer	1
B5042	buyer	2
B5043	buyer	1
B5044	buyer	3
B5045	buyer	2
B5046	buyer	1
B5047	buyer	1
B5048	buyer	1
B5049	buyer	4
B5050	buyer	2
B5051	buyer	2
B5052	buyer	2
B5053	buyer	2
B5055	buyer	2
B5056	buyer	1
B5057	buyer	2
B5058	buyer	2
B5059	buyer	10
B506	buyer	2
B5060	buyer	1
B5061	buyer	1
B5062	buyer	2
B5063	buyer	3
B5064	buyer	6
B5065	buyer	2
B5066	buyer	1
B5067	buyer	4
B5068	buyer	3
B5069	buyer	14
B5070	buyer	1
B5071	buyer	3
B5072	buyer	1
B5073	buyer	4
B5074	buyer	3
B5075	buyer	1
B5076	buyer	3
B5077	buyer	1
B5078	buyer	5
B5079	buyer	1
B5080	buyer	3
B5081	buyer	4
B5082	buyer	2
B5083	buyer	2
B5084	buyer	3
B5085	buyer	2
B5086	buyer	5
B5087	buyer	3
B5088	buyer	2
B5089	buyer	2
B5092	buyer	3
B5093	buyer	1
B5094	buyer	2
B5095	buyer	1
B5096	buyer	3
B5097	buyer	1
B5098	buyer	9
B5099	buyer	1
B510	buyer	4
B5100	buyer	4
B5101	buyer	3
B5102	buyer	6
B5103	buyer	1
B5104	buyer	1
B5105	buyer	1
B5106	buyer	5
B5107	buyer	2
B5108	buyer	2
B5109	buyer	2
B5110	buyer	3
B5111	buyer	2
B5112	buyer	2
B5113	buyer	1
B5114	buyer	11
B5115	buyer	2
B5116	buyer	1
B5117	buyer	4
B5118	buyer	1
B5119	buyer	3
B5120	buyer	2
B5121	buyer	1
B5122	buyer	3
B5123	buyer	1
B5124	buyer	2
B5125	buyer	1
B5126	buyer	21
B5127	buyer	1
B5128	buyer	3
B5129	buyer	1
B5130	buyer	3
B5131	buyer	1
B5132	buyer	1
B5133	buyer	2
B5134	buyer	1
B5135	buyer	4
B5136	buyer	16
B5137	buyer	11
B5138	buyer	5
B5139	buyer	2
B5140	buyer	1
B5141	buyer	1
B5142	buyer	4
B5143	buyer	1
B5144	buyer	2
B5145	buyer	1
B5146	buyer	2
B5147	buyer	1
B5148	buyer	3
B5149	buyer	2
B5150	buyer	2
B5151	buyer	3
B5152	buyer	5
B5153	buyer	1
B5154	buyer	1
B5155	buyer	3
B5156	buyer	1
B5157	buyer	2
B5159	buyer	5
B5160	buyer	3
B5161	buyer	1
B5162	buyer	4
B5163	buyer	2
B5164	buyer	6
B5165	buyer	1
B5166	buyer	2
B5167	buyer	5
B5168	buyer	2
B5169	buyer	1
B5170	buyer	1
B5171	buyer	3
B5172	buyer	2
B5173	buyer	2
B5174	buyer	1
B5175	buyer	1
B5176	buyer	2
B5177	buyer	2
B5178	buyer	2
B5179	buyer	3
B518	buyer	17
B5180	buyer	2
B5181	buyer	3
B5182	buyer	1
B5183	buyer	2
B5184	buyer	3
B5185	buyer	4
B5186	buyer	1
B5187	buyer	6
B5188	buyer	2
B5189	buyer	1
B5190	buyer	3
B5191	buyer	3
B5192	buyer	5
B5193	buyer	1
B5194	buyer	10
B5195	buyer	1
B5196	buyer	2
B5197	buyer	1
B5198	buyer	2
B5199	buyer	2
B52	buyer	9
B520	buyer	1
B5200	buyer	3
B5201	buyer	3
B5202	buyer	4
B5203	buyer	5
B5204	buyer	2
B5205	buyer	4
B5206	buyer	2
B5207	buyer	2
B5208	buyer	2
B5209	buyer	2
B5210	buyer	8
B5212	buyer	1
B5213	buyer	1
B5214	buyer	7
B5215	buyer	2
B5216	buyer	3
B5217	buyer	4
B5218	buyer	2
B5219	buyer	2
B522	buyer	2
B5220	buyer	1
B5221	buyer	4
B5222	buyer	7
B5223	buyer	2
B5224	buyer	2
B5225	buyer	3
B5226	buyer	4
B5227	buyer	1
B5228	buyer	1
B5229	buyer	13
B5230	buyer	2
B5231	buyer	1
B5232	buyer	4
B5233	buyer	2
B5234	buyer	3
B5235	buyer	3
B5236	buyer	4
B5237	buyer	2
B5238	buyer	1
B5239	buyer	1
B5240	buyer	5
B5241	buyer	2
B5242	buyer	3
B5243	buyer	1
B5244	buyer	1
B5245	buyer	2
B5246	buyer	1
B5247	buyer	1
B5248	buyer	2
B5249	buyer	1
B5250	buyer	1
B5251	buyer	6
B5252	buyer	2
B5254	buyer	2
B5255	buyer	1
B5256	buyer	4
B5257	buyer	1
B5258	buyer	5
B5259	buyer	1
B5260	buyer	4
B5261	buyer	21
B5262	buyer	1
B5263	buyer	1
B5264	buyer	2
B5265	buyer	6
B5266	buyer	5
B5267	buyer	1
B5268	buyer	3
B527	buyer	2
B5270	buyer	2
B5271	buyer	2
B5272	buyer	2
B5273	buyer	1
B5274	buyer	2
B5275	buyer	1
B5276	buyer	4
B5277	buyer	2
B5278	buyer	2
B5279	buyer	1
B528	buyer	5
B5280	buyer	1
B5281	buyer	1
B5282	buyer	2
B5283	buyer	1
B5284	buyer	2
B5285	buyer	2
B5286	buyer	2
B5287	buyer	1
B5288	buyer	3
B5289	buyer	2
B5290	buyer	1
B5291	buyer	1
B5292	buyer	1
B5293	buyer	2
B5294	buyer	2
B5295	buyer	3
B5296	buyer	2
B5297	buyer	1
B5298	buyer	3
B5299	buyer	6
B53	buyer	3
B530	buyer	2
B5300	buyer	3
B5301	buyer	2
B5302	buyer	4
B5303	buyer	1
B5304	buyer	1
B5305	buyer	4
B5306	buyer	4
B5307	buyer	1
B5308	buyer	2
B5309	buyer	5
B531	buyer	4
B5310	buyer	1
B5311	buyer	1
B5312	buyer	1
B5313	buyer	3
B5315	buyer	6
B5316	buyer	7
B5317	buyer	2
B5318	buyer	2
B5319	buyer	2
B5320	buyer	3
B5321	buyer	2
B5322	buyer	2
B5323	buyer	6
B5324	buyer	2
B5325	buyer	3
B5326	buyer	1
B5327	buyer	6
B5329	buyer	2
B5330	buyer	1
B5331	buyer	2
B5332	buyer	1
B5333	buyer	3
B5334	buyer	2
B5335	buyer	3
B5336	buyer	5
B5337	buyer	4
B5338	buyer	3
B5339	buyer	2
B5340	buyer	1
B5341	buyer	2
B5342	buyer	9
B5343	buyer	3
B5344	buyer	2
B5345	buyer	1
B5346	buyer	3
B5347	buyer	3
B5348	buyer	3
B5349	buyer	1
B5350	buyer	1
B5351	buyer	3
B5352	buyer	2
B5353	buyer	8
B5354	buyer	2
B5355	buyer	3
B5356	buyer	1
B5358	buyer	2
B5359	buyer	1
B5360	buyer	13
B5361	buyer	2
B5362	buyer	1
B5363	buyer	1
B5364	buyer	4
B5365	buyer	2
B5366	buyer	2
B5367	buyer	4
B5368	buyer	1
B5369	buyer	1
B5370	buyer	2
B5371	buyer	5
B5372	buyer	5
B5373	buyer	2
B5374	buyer	1
B5375	buyer	1
B5376	buyer	4
B5377	buyer	4
B5378	buyer	5
B5379	buyer	1
B5380	buyer	2
B5381	buyer	2
B5382	buyer	1
B5383	buyer	2
B5384	buyer	8
B5385	buyer	3
B5386	buyer	3
B5387	buyer	4
B5388	buyer	3
B5389	buyer	1
B5390	buyer	2
B5391	buyer	1
B5392	buyer	3
B5393	buyer	6
B5394	buyer	1
B5395	buyer	2
B5396	buyer	4
B5398	buyer	8
B5399	buyer	2
B5400	buyer	5
B5401	buyer	1
B5402	buyer	2
B5403	buyer	1
B5404	buyer	1
B5405	buyer	2
B5406	buyer	1
B5407	buyer	1
B5408	buyer	4
B5409	buyer	2
B541	buyer	2
B5410	buyer	2
B5411	buyer	3
B5412	buyer	3
B5413	buyer	1
B5414	buyer	3
B5415	buyer	3
B5416	buyer	2
B5417	buyer	7
B5418	buyer	1
B542	buyer	2
B5420	buyer	4
B5421	buyer	1
B5422	buyer	2
B5423	buyer	2
B5424	buyer	4
B5426	buyer	4
B5429	buyer	1
B5430	buyer	1
B5431	buyer	4
B5432	buyer	1
B5433	buyer	1
B5434	buyer	2
B5435	buyer	2
B5436	buyer	2
B5437	buyer	2
B5438	buyer	2
B5439	buyer	4
B544	buyer	1
B5440	buyer	1
B5441	buyer	1
B5442	buyer	2
B5443	buyer	1
B5444	buyer	2
B5445	buyer	2
B5446	buyer	1
B5447	buyer	9
B5448	buyer	1
B5449	buyer	2
B5450	buyer	5
B5451	buyer	2
B5453	buyer	1
B5454	buyer	2
B5455	buyer	1
B5457	buyer	3
B5458	buyer	3
B5459	buyer	3
B546	buyer	2
B5460	buyer	14
B5461	buyer	2
B5462	buyer	6
B5463	buyer	2
B5464	buyer	9
B5465	buyer	2
B5467	buyer	2
B5468	buyer	4
B5469	buyer	3
B5470	buyer	2
B5471	buyer	3
B5472	buyer	11
B5473	buyer	5
B5475	buyer	2
B5476	buyer	2
B5477	buyer	1
B5478	buyer	1
B5479	buyer	1
B5480	buyer	6
B5481	buyer	2
B5482	buyer	1
B5483	buyer	2
B5484	buyer	1
B5485	buyer	1
B5486	buyer	3
B5487	buyer	2
B5488	buyer	5
B5489	buyer	4
B5491	buyer	3
B5492	buyer	3
B5493	buyer	2
B5494	buyer	1
B5495	buyer	1
B5496	buyer	2
B5497	buyer	2
B5498	buyer	3
B5499	buyer	2
B550	buyer	2
B5500	buyer	6
B5501	buyer	2
B5502	buyer	2
B5503	buyer	2
B5504	buyer	2
B5505	buyer	1
B5506	buyer	2
B5507	buyer	5
B5508	buyer	2
B5509	buyer	2
B5510	buyer	1
B5511	buyer	3
B5512	buyer	1
B5513	buyer	5
B5514	buyer	2
B5515	buyer	1
B5516	buyer	1
B5517	buyer	5
B5518	buyer	2
B5519	buyer	5
B552	buyer	17
B5520	buyer	2
B5521	buyer	3
B5522	buyer	2
B5523	buyer	3
B5524	buyer	1
B5525	buyer	1
B5526	buyer	2
B5528	buyer	1
B5529	buyer	1
B5530	buyer	2
B5531	buyer	2
B5532	buyer	1
B5533	buyer	4
B5534	buyer	1
B5535	buyer	3
B5536	buyer	2
B5537	buyer	16
B5538	buyer	1
B5539	buyer	1
B554	buyer	2
B5540	buyer	2
B5541	buyer	2
B5542	buyer	1
B5543	buyer	7
B5544	buyer	2
B5545	buyer	1
B5546	buyer	3
B5547	buyer	2
B5548	buyer	3
B5549	buyer	2
B555	buyer	16
B5550	buyer	3
B5552	buyer	4
B5553	buyer	2
B5554	buyer	4
B5555	buyer	1
B5556	buyer	2
B5557	buyer	2
B5558	buyer	2
B5559	buyer	3
B5560	buyer	2
B5561	buyer	1
B5562	buyer	4
B5563	buyer	1
B5564	buyer	2
B5565	buyer	2
B5566	buyer	2
B5567	buyer	2
B5568	buyer	6
B5569	buyer	1
B5570	buyer	1
B5571	buyer	4
B5572	buyer	1
B5573	buyer	1
B5574	buyer	2
B5575	buyer	1
B5576	buyer	3
B5577	buyer	1
B5578	buyer	2
B5579	buyer	3
B5580	buyer	5
B5581	buyer	1
B5582	buyer	3
B5583	buyer	5
B5584	buyer	1
B5585	buyer	2
B5586	buyer	1
B5587	buyer	3
B5589	buyer	3
B5590	buyer	9
B5591	buyer	3
B5592	buyer	2
B5593	buyer	3
B5594	buyer	1
B5595	buyer	1
B5596	buyer	2
B5597	buyer	2
B5598	buyer	2
B5599	buyer	3
B5600	buyer	1
B5601	buyer	1
B5602	buyer	2
B5603	buyer	2
B5604	buyer	3
B5605	buyer	4
B5606	buyer	4
B5607	buyer	3
B5608	buyer	1
B5609	buyer	2
B5610	buyer	2
B5611	buyer	3
B5612	buyer	3
B5613	buyer	1
B5614	buyer	2
B5615	buyer	4
B5616	buyer	3
B5617	buyer	11
B5618	buyer	6
B5619	buyer	2
B5621	buyer	1
B5622	buyer	1
B5623	buyer	2
B5624	buyer	1
B5625	buyer	1
B5626	buyer	3
B5627	buyer	2
B5628	buyer	4
B5629	buyer	3
B5630	buyer	3
B5631	buyer	2
B5632	buyer	2
B5633	buyer	2
B5634	buyer	1
B5635	buyer	2
B5636	buyer	1
B5637	buyer	1
B5638	buyer	3
B5639	buyer	2
B564	buyer	6
B5640	buyer	5
B5641	buyer	4
B5642	buyer	5
B5643	buyer	2
B5644	buyer	3
